Year;Month;GEPU_current;GEPU_ppp
1997;1;76,90646913;80,19394352
1997;2;79,42518212;82,37770573
1997;3;68,6012039;67,6990126
1997;4;73,80072126;76,1522012
1997;5;71,87474865;72,91476652
1997;6;78,73848416;79,79118911
1997;7;64,26658659;62,1328277
1997;8;63,37651624;59,24295096
1997;9;67,27787877;65,02230943
1997;10;81,50192161;77,998211
1997;11;95,26860239;90,1273531
1997;12;106,7499497;97,35329816
1998;1;98,48855055;94,80214111
1998;2;85,85049434;83,43695145
1998;3;87,44134746;82,93679455
1998;4;78,99199883;72,97009952
1998;5;85,12691334;79,20807971
1998;6;84,63397825;80,63893022
1998;7;101,2642645;97,19118141
1998;8;114,54875;108,3871181
1998;9;142,3748714;140,7192525
1998;10;118,3096004;113,6791113
1998;11;96,74918144;89,97124417
1998;12;91,48543135;88,62809549
1999;1;96,87048708;96,46367585
1999;2;80,4821456;79,24897273
1999;3;64,83910543;62,74057098
1999;4;63,34270917;58,65311548
1999;5;70,4796837;72,32810098
1999;6;72,08047948;71,90475126
1999;7;72,46737065;71,77213951
1999;8;62,15221225;60,99784174
1999;9;66,77393341;64,48572308
1999;10;65,27811923;66,35678195
1999;11;68,15165996;64,70042367
1999;12;60,50943217;56,38985189
2000;1;63,60333854;61,89786246
2000;2;58,70227754;53,18361464
2000;3;61,31594703;58,20110117
2000;4;64,55414196;61,1953601
2000;5;87,11631725;84,57012742
2000;6;88,40175354;82,93763691
2000;7;65,2997515;58,6868654
2000;8;54,31545758;51,79045547
2000;9;60,97845296;62,42969476
2000;10;68,9646757;68,00431478
2000;11;109,2366703;105,049541
2000;12;102,6847797;99,58219728
2001;1;100,3677725;95,37628637
2001;2;100,5891212;95,03906594
2001;3;113,4354506;106,9918891
2001;4;109,8701113;102,9652407
2001;5;84,88320429;80,80170918
2001;6;74,08381024;69,95326033
2001;7;100,074613;95,48815412
2001;8;85,28314024;84,35917961
2001;9;179,8469754;170,2367542
2001;10;170,8693422;166,4554538
2001;11;126,1506484;121,6801901
2001;12;107,7348119;104,2032528
2002;1;106,974245;105,71556
2002;2;89,90005425;88,64166796
2002;3;78,78173985;79,09447798
2002;4;83,71370736;83,70240023
2002;5;79,4286858;76,27457828
2002;6;94,72896904;94,99424213
2002;7;100,6179205;95,71675008
2002;8;107,5254887;105,3513252
2002;9;123,1100049;122,4617217
2002;10;117,6302131;118,4438009
2002;11;122,3796546;117,2791744
2002;12;118,5984671;113,9088979
2003;1;127,1250267;117,1499093
2003;2;135,088662;124,6371198
2003;3;167,7491684;157,8070618
2003;4;134,7970542;128,0335881
2003;5;105,8930202;101,0573541
2003;6;90,04950245;83,04088966
2003;7;79,71167372;79,776019
2003;8;69,10161021;70,44186156
2003;9;81,28094635;78,56612545
2003;10;76,26289278;78,23119454
2003;11;73,04034019;73,54576601
2003;12;70,87728519;70,48826756
2004;1;72,27694608;76,81716874
2004;2;71,11543597;76,42300019
2004;3;78,16573144;75,30507712
2004;4;75,73954007;75,73481721
2004;5;90,80693904;98,08255811
2004;6;76,72087521;76,0911662
2004;7;73,58695015;69,85418957
2004;8;68,7743746;68,15312083
2004;9;79,16676749;75,99197142
2004;10;88,6322855;88,57286294
2004;11;84,36220777;81,36914278
2004;12;64,89983864;66,2132196
2005;1;57,59796043;63,17528823
2005;2;54,22967121;55,54892887
2005;3;54,1314604;57,97959304
2005;4;68,33457648;70,81265992
2005;5;69,40019822;68,10762677
2005;6;70,33515934;69,5464745
2005;7;61,27862838;60,41842646
2005;8;61,75108115;62,79080128
2005;9;93,47438172;89,36849607
2005;10;64,22569071;64,3200865
2005;11;67,34290698;65,99340453
2005;12;61,14838694;63,86687595
2006;1;68,65703931;72,86044059
2006;2;57,76750013;57,72940355
